Day,Month,Year,Open,High,Low,Close,Adj Close,Volume
4,Sep,2023,"65,525.91","65,683.91","65,285.56","65,628.14","65,628.14",
1,Sep,2023,"64,855.51","65,473.27","64,818.37","65,387.16","65,387.16","21,600"
31,Aug,2023,"65,178.33","65,277.04","64,723.63","64,831.41","64,831.41","48,600"
30,Aug,2023,"65,311.58","65,458.70","65,052.74","65,087.25","65,087.25","17,700"
29,Aug,2023,"65,201.35","65,229.03","64,956.67","65,075.82","65,075.82","48,500"
28,Aug,2023,"64,908.08","65,213.45","64,776.92","64,996.60","64,996.60","20,800"
25,Aug,2023,"65,000.67","65,106.00","64,732.57","64,886.51","64,886.51","51,700"
24,Aug,2023,"65,722.51","65,913.77","65,181.94","65,252.34","65,252.34","5,900"
23,Aug,2023,"65,300.93","65,504.71","65,108.51","65,433.30","65,433.30","7,100"
22,Aug,2023,"65,272.42","65,362.91","65,165.45","65,220.03","65,220.03","5,400"
21,Aug,2023,"64,852.70","65,335.82","64,852.70","65,216.09","65,216.09","9,300"
18,Aug,2023,"65,025.71","65,175.32","64,754.72","64,948.66","64,948.66","14,300"
17,Aug,2023,"65,503.85","65,535.14","65,046.10","65,151.02","65,151.02","6,400"
16,Aug,2023,"65,238.67","65,605.74","65,032.89","65,539.42","65,539.42",
14,Aug,2023,"65,153.02","65,517.82","64,821.88","65,401.92","65,401.92","7,600"
11,Aug,2023,"65,727.80","65,727.80","65,274.61","65,322.65","65,322.65","7,600"
10,Aug,2023,"65,945.39","65,956.25","65,509.14","65,688.18","65,688.18","6,000"
9,Aug,2023,"65,810.96","66,066.01","65,444.38","65,995.81","65,995.81","6,600"
8,Aug,2023,"66,048.81","66,057.53","65,752.63","65,846.50","65,846.50","6,300"
7,Aug,2023,"65,811.40","66,067.90","65,748.25","65,953.48","65,953.48","7,100"
4,Aug,2023,"65,453.55","65,799.27","65,387.18","65,721.25","65,721.25","12,500"
3,Aug,2023,"65,550.82","65,820.82","64,963.08","65,240.68","65,240.68","9,300"
2,Aug,2023,"66,064.41","66,261.97","65,431.68","65,782.78","65,782.78","7,500"
1,Aug,2023,"66,532.98","66,658.12","66,388.26","66,459.31","66,459.31","10,500"
31,Jul,2023,"66,156.39","66,598.42","65,998.90","66,527.67","66,527.67","7,900"
28,Jul,2023,"66,266.35","66,351.22","65,878.65","66,160.20","66,160.20","12,300"
27,Jul,2023,"66,834.12","66,984.17","66,060.74","66,266.82","66,266.82","8,400"
26,Jul,2023,"66,434.72","66,897.27","66,431.34","66,707.20","66,707.20","10,500"
25,Jul,2023,"66,531.20","66,559.29","66,177.62","66,355.71","66,355.71","11,100"
24,Jul,2023,"66,629.14","66,808.56","66,326.25","66,384.78","66,384.78","8,600"
